psnr,ssim,dist
0.006344,0.991064,0.020978
0.024128,0.962792,0.049249
0.021703,0.821202,0.130451
0.011850,0.253836,0.387788
0.018645,0.971824,0.134515
0.019662,0.992505,0.045240
1.000000,1.000000,0.000005
0.018054,0.982270,0.041491
0.020919,0.919398,0.093023
0.194796,0.995689,0.005984
0.154831,0.984245,0.022569
0.041517,0.933424,0.113346
0.022654,0.788361,0.308699
0.064832,0.666217,0.464028
0.275949,0.985897,0.021629
0.231007,0.970273,0.118968
0.216836,0.961593,0.110622
0.193888,0.941553,0.166616
0.182730,0.933726,0.135474
0.124925,0.856766,0.081019
0.112148,0.821698,0.120333
0.117061,0.839192,0.115490
0.114197,0.827920,0.102856
0.088714,0.687645,0.324345
0.084508,0.922103,0.102154
0.065273,0.901843,0.160837
0.056959,0.884164,0.197551
0.039279,0.840784,0.265326
0.038414,0.730147,0.420816
0.293243,0.988104,0.163679
0.244437,0.977210,0.165214
0.229169,0.974461,0.266033
0.208260,0.953325,0.335741
0.194709,0.952448,0.331581
0.096595,0.902678,0.204476
0.063772,0.765348,0.309279
0.048969,0.648024,0.364479
0.032441,0.413556,0.469958
0.024089,0.207671,0.583355
0.030555,0.871285,0.245130
0.026952,0.936002,0.152718
0.035846,0.977879,0.075381
0.035846,0.974840,0.093557
0.029217,0.894964,0.265557
1.000000,1.000000,0.000008
0.242680,0.990225,0.031950
0.161113,0.924635,0.140954
0.127785,0.840942,0.294434
0.084104,0.719135,0.540117
0.189420,0.965409,0.069810
0.150513,0.898145,0.168738
0.119156,0.809962,0.321026
0.100898,0.752845,0.426935
0.088858,0.714061,0.504767
1.000000,1.000000,0.000008
0.206490,0.978043,0.042817
0.158717,0.922984,0.139988
0.149914,0.900960,0.216860
0.124488,0.840391,0.343436
0.172863,0.955075,0.121218
0.032958,0.791501,0.407043
0.026577,0.745126,0.525150
0.027690,0.714089,0.585322
0.025541,0.647961,0.653702
0.251449,0.987116,0.048761
0.239259,0.981025,0.105364
0.233184,0.978645,0.159097
0.234279,0.979135,0.150432
0.224651,0.977305,0.174309
0.057492,0.823377,0.071602
0.056752,0.799725,0.077386
0.029291,0.733825,0.115390
0.024969,0.667060,0.169442
0.025819,0.527065,0.319787
0.062441,0.874023,0.211366
0.060298,0.841251,0.381603
0.053682,0.823779,0.505579
0.052055,0.805749,0.629006
0.016804,0.730515,0.548492
1.000000,1.000000,0.000008
0.054550,0.826215,0.260619
0.032516,0.782993,0.322910
0.025132,0.674073,0.453646
0.029729,0.576071,0.513989
0.251355,0.981536,0.014173
0.182600,0.949607,0.051292
0.154710,0.923682,0.089527
0.113621,0.827613,0.214114
0.084074,0.726491,0.475991
0.125633,0.882402,0.097760
0.119549,0.869980,0.102249
0.104590,0.830648,0.136161
0.058584,0.662715,0.449099
0.035643,0.572040,0.685875
0.067265,0.602372,0.159623
0.049731,0.436376,0.229212
0.042534,0.340557,0.267205
0.035874,0.231759,0.306110
0.029371,0.115951,0.383868
0.109862,0.796170,0.060177
0.052373,0.463250,0.219369
0.040372,0.305250,0.282835
0.032340,0.172500,0.357225
0.029123,0.110641,0.394977
0.429069,0.970109,0.038223
0.331579,0.857533,0.148355
0.289937,0.731391,0.224527
0.249229,0.537297,0.325815
0.225170,0.394294,0.372568
0.088329,0.757813,0.074202
0.041717,0.432743,0.242769
0.035596,0.300372,0.296810
0.028817,0.196121,0.374460
0.024654,0.102407,0.466768
0.065507,0.733505,0.233565
0.060361,0.633416,0.312393
0.050563,0.557120,0.348640
0.044820,0.390760,0.494768
0.035984,0.256942,0.507786
0.043205,0.945002,0.015279
0.007481,0.926893,0.046178
0.011377,0.861865,0.140540
0.009283,0.668116,0.335510
0.015934,0.593713,0.521681
0.125624,0.998109,0.004055
0.042042,0.993312,0.015068
0.014665,0.974595,0.045005
0.022523,0.893542,0.120174
0.018988,0.650113,0.273507
0.021774,0.946909,0.130817
0.030995,0.991133,0.045902
1.000000,1.000000,0.000008
0.074748,0.973174,0.024891
0.044468,0.944360,0.050101
0.107671,0.978211,0.006541
0.085156,0.944420,0.014871
0.034178,0.898393,0.061812
0.068127,0.788066,0.225106
0.050625,0.683014,0.382789
0.282631,0.985859,0.027972
0.244401,0.975872,0.065147
0.227974,0.966327,0.087263
0.200289,0.948897,0.076233
0.192367,0.940632,0.083038
0.145667,0.892502,0.048598
0.131716,0.861674,0.059202
0.137740,0.875933,0.057893
0.134071,0.865515,0.073018
0.103357,0.752002,0.213604
0.097372,0.923428,0.056228
0.076120,0.893015,0.082450
0.060320,0.861641,0.096374
0.052001,0.805760,0.166449
0.036582,0.657201,0.266546
0.292681,0.988905,0.092362
0.255975,0.979988,0.104840
0.225529,0.962415,0.262278
0.204561,0.954193,0.286972
0.200419,0.948002,0.293491
0.113020,0.900364,0.123356
0.071810,0.764648,0.204419
0.054807,0.648322,0.259210
0.036895,0.419536,0.351004
0.027556,0.220408,0.466877
0.034038,0.904980,0.168852
0.029958,0.948367,0.098299
0.004346,0.981920,0.043293
0.004346,0.984923,0.036135
0.033214,0.949310,0.109598
1.000000,1.000000,0.000003
0.240936,0.996073,0.033496
0.159742,0.965891,0.179001
0.125526,0.908495,0.363036
0.085241,0.793810,0.541373
0.191008,0.985719,0.077918
0.150720,0.953282,0.220306
